"ANNEE";"MOIS";"NAT_SERIES";"DESTINATION";"SDP_AUT";"SDP_COM"
2024;7;"Brute";"Autres activites";1587233;862919
2024;7;"Brute";"Autres activites - industrie";407112;288275
2024;7;"Brute";"Autres activites - entrepot";835794;381874
2024;7;"Brute";"Autres activites - bureau";344327;192770
2024;7;"CVS-CJO";"Ensemble des locaux non-residentiels";3167827;1798802
2024;7;"CVS-CJO";"Exploitation agricole";644609;271682
2024;7;"CVS-CJO";"Commerce";607994;370770
2024;7;"CVS-CJO";"Commerce - hotels";117987;57687
2024;7;"CVS-CJO";"Services publics";548525;354717
2024;7;"CVS-CJO";"Autres activites";1366699;801633
2024;7;"CVS-CJO";"Autres activites - industrie";374452;268975
2024;7;"CVS-CJO";"Autres activites - entrepot";686749;360887
2024;7;"CVS-CJO";"Autres activites - bureau";305428;197307
2024;6;"Brute";"Ensemble des locaux non-residentiels";3138157;1709010
2024;6;"Brute";"Exploitation agricole";703456;313545
2024;6;"Brute";"Commerce";592806;282133
2024;6;"Brute";"Commerce - hotels";87609;38351
2024;6;"Brute";"Services publics";612090;373035
2024;6;"Brute";"Autres activites";1229802;740297
2024;6;"Brute";"Autres activites - industrie";322844;197473
2024;6;"Brute";"Autres activites - entrepot";575998;344419
2024;6;"Brute";"Autres activites - bureau";330960;198405
2024;6;"CVS-CJO";"Ensemble des locaux non-residentiels";3118988;1603895
2024;6;"CVS-CJO";"Exploitation agricole";675253;290105
2024;6;"CVS-CJO";"Commerce";583254;252497
2024;6;"CVS-CJO";"Commerce - hotels";87609;38351
2024;6;"CVS-CJO";"Services publics";588238;332138
2024;6;"CVS-CJO";"Autres activites";1272243;729155
2024;6;"CVS-CJO";"Autres activites - industrie";322069;187168
2024;6;"CVS-CJO";"Autres activites - entrepot";577370;318494
2024;6;"CVS-CJO";"Autres activites - bureau";332411;197910
2024;5;"Brute";"Ensemble des locaux non-residentiels";2795807;1595799
2024;5;"Brute";"Exploitation agricole";601568;230655
2024;5;"Brute";"Commerce";497783;297434
2024;5;"Brute";"Commerce - hotels";91797;33079
2024;5;"Brute";"Services publics";513514;342994
2024;5;"Brute";"Autres activites";1182937;724705
2024;5;"Brute";"Autres activites - industrie";237531;327164
2024;5;"Brute";"Autres activites - entrepot";619474;215171
2024;5;"Brute";"Autres activites - bureau";325932;182370
2024;5;"CVS-CJO";"Ensemble des locaux non-residentiels";2950104;1623842
2024;5;"CVS-CJO";"Exploitation agricole";587599;257590
2024;5;"CVS-CJO";"Commerce";525313;270484
2024;5;"CVS-CJO";"Commerce - hotels";91797;33079
2024;5;"CVS-CJO";"Services publics";548557;357448
2024;5;"CVS-CJO";"Autres activites";1288635;738320
2024;5;"CVS-CJO";"Autres activites - industrie";294084;340166
2024;5;"CVS-CJO";"Autres activites - entrepot";701521;247227
2024;5;"CVS-CJO";"Autres activites - bureau";375569;204913
2024;4;"Brute";"Ensemble des locaux non-residentiels";2617575;1414197
2024;4;"Brute";"Exploitation agricole";641507;240652
2024;4;"Brute";"Commerce";534740;256386
