Department,Millesime,Indicateur,Valeur
05,2014,Deces,1322
05,2014,Naissances,1383
05,2015,Deces,1410
05,2015,Naissances,1347
05,2016,Deces,1455
05,2016,Naissances,1298
05,2017,Actifs1564,64127
05,2017,ArriveesHorsDep,5325
05,2017,Chomeurs1564,6801
05,2017,Deces,1388
05,2017,Logements,135493
05,2017,LogementsVacants,8436
05,2017,Naissances,1215
05,2017,Pop65Plus,33183
05,2017,PopUnAnPlus,140003
05,2017,Population,141284
05,2017,PopulationLegale,141284
05,2017,RPMaisons,35740
05,2017,RPProprietaires,39270
05,2017,ResidencesPrincipales,65715
05,2018,Deces,1419
05,2018,Naissances,1235
05,2019,Deces,1466
05,2019,Naissances,1221
05,2020,Deces,1670
05,2020,Naissances,1157
05,2021,Deces,1572
05,2021,Naissances,1282
05,2022,Deces,1542
05,2022,Naissances,1234
05,2023,Actifs1564,64777
05,2023,ArriveesHorsDep,4756
05,2023,Chomeurs1564,5644
05,2023,Deces,1519
05,2023,Logements,141875
05,2023,LogementsVacants,7781
05,2023,Naissances,1097
05,2023,NiveauVieMedian,25060
05,2023,Pop65Plus,37830
05,2023,PopUnAnPlus,142268
05,2023,Population,143467
05,2023,PopulationLegale,143467
05,2023,RPMaisons,38243
05,2023,RPProprietaires,42995
05,2023,RPProprietaires65Plus,18733
05,2023,RPTotalAge,69994
05,2023,ResidencesPrincipales,69994
05,2023,TauxPauvrete,14
05,2024,Deces,1517
05,2024,Naissances,1122
05,2025,Deces,1617
05,2025,Naissances,1105
06,1968,PopulationLegale,722070
06,1975,PopulationLegale,816681
06,1982,PopulationLegale,881198
06,1990,PopulationLegale,971829
06,1999,PopulationLegale,1011326
06,2007,PopulationLegale,1082465
06,2008,Deces,11126
06,2008,Naissances,12275
06,2009,Deces,11050
06,2009,Naissances,11949
06,2010,Deces,10871
06,2010,Naissances,12257
06,2011,Deces,10670
06,2011,Naissances,11999
06,2012,Actifs1564,489116
06,2012,ArriveesHorsDep,32254
06,2012,Chomeurs1564,61671
06,2012,Deces,11374
06,2012,Logements,741301
06,2012,LogementsVacants,62667
06,2012,Naissances,12087
06,2012,Pop65Plus,243363
06,2012,PopUnAnPlus,1070043
06,2012,Population,1082014
06,2012,PopulationLegale,1082014
06,2012,RPMaisons,133713
06,2012,RPProprietaires,274549
06,2012,ResidencesPrincipales,503022
06,2013,Deces,11142
06,2013,Naissances,12149
06,2014,Deces,11203
06,2014,Naissances,12170
06,2015,Deces,11858
06,2015,Naissances,12068
06,2016,Deces,11643
06,2016,Naissances,11956
06,2017,Actifs1564,485490
06,2017,ArriveesHorsDep,27943
06,2017,Chomeurs1564,66451
06,2017,Deces,12099
06,2017,Logements,766748
06,2017,LogementsVacants,65117
06,2017,Naissances,11888
06,2017,Pop65Plus,261972
06,2017,PopUnAnPlus,1072120
06,2017,Population,1083310
06,2017,PopulationLegale,1083310
06,2017,RPMaisons,132788
06,2017,RPProprietaires,280586
06,2017,ResidencesPrincipales,509479
06,2018,Deces,11765
06,2018,Naissances,11631
06,2019,Deces,11817
06,2019,Naissances,11580
06,2020,Deces,12452
06,2020,Naissances,11216
06,2021,Deces,13495
06,2021,Naissances,11407
06,2022,Deces,13251
06,2022,Naissances,11227
06,2023,Actifs1564,511870
06,2023,ArriveesHorsDep,28694
06,2023,Chomeurs1564,55929
06,2023,Deces,12567
06,2023,Logements,803375
06,2023,LogementsVacants,62569
06,2023,Naissances,10380
06,2023,NiveauVieMedian,26380
06,2023,Pop65Plus,282337
06,2023,PopUnAnPlus,1118224
06,2023,Population,1128418
06,2023,PopulationLegale,1128418
06,2023,RPMaisons,138969
06,2023,RPProprietaires,300332
06,2023,RPProprietaires65Plus,130349
06,2023,RPTotalAge,543316
06,2023,ResidencesPrincipales,543316
06,2023,TauxPauvrete,18
06,2024,Deces,12313
06,2024,Naissances,9920
06,2025,Deces,12421
06,2025,Naissances,10037
07,1968,PopulationLegale,256927
07,1975,PopulationLegale,257065
07,1982,PopulationLegale,267970
07,1990,PopulationLegale,277581
07,1999,PopulationLegale,286023
07,2007,PopulationLegale,309456
07,2008,Deces,3187
07,2008,Naissances,3447
07,2009,Deces,3219
07,2009,Naissances,3307
07,2010,Deces,3382
07,2010,Naissances,3380
07,2011,Deces,3307
07,2011,Naissances,3360
07,2012,Actifs1564,140241
07,2012,ArriveesHorsDep,13368
07,2012,Chomeurs1564,17874
07,2012,Deces,3465
07,2012,Logements,191797
07,2012,LogementsVacants,17071
07,2012,Naissances,3405
07,2012,Pop65Plus,68351
07,2012,PopUnAnPlus,314904
07,2012,Population,318407
07,2012,PopulationLegale,318407
07,2012,RPMaisons,101970
07,2012,RPProprietaires,92986
07,2012,ResidencesPrincipales,139382
07,2013,Deces,3402
07,2013,Naissances,3179
07,2014,Deces,3399
07,2014,Naissances,3254
07,2015,Deces,3658
07,2015,Naissances,3249
07,2016,Deces,3628
07,2016,Naissances,2875
07,2017,Actifs1564,143011
07,2017,ArriveesHorsDep,12646
07,2017,Chomeurs1564,20126
07,2017,Deces,3787
07,2017,Logements,203015
07,2017,LogementsVacants,19746
07,2017,Naissances,2995
07,2017,Pop65Plus,78415
07,2017,PopUnAnPlus,322568
07,2017,Population,325712
07,2017,PopulationLegale,325712
07,2017,RPMaisons,107718
07,2017,RPProprietaires,97776
07,2017,ResidencesPrincipales,146535
07,2018,Deces,3828
07,2018,Naissances,2891
07,2019,Deces,3819
07,2019,Naissances,2982
07,2020,Deces,4277
07,2020,Naissances,2754
07,2021,Deces,3895
07,2021,Naissances,2890
07,2022,Deces,4119
07,2022,Naissances,2773
07,2023,Actifs1564,147694
07,2023,ArriveesHorsDep,12565
07,2023,Chomeurs1564,16004
07,2023,Deces,3889
07,2023,Logements,213609
07,2023,LogementsVacants,19633
07,2023,Naissances,2551
07,2023,NiveauVieMedian,24820
07,2023,Pop65Plus,88343
07,2023,PopUnAnPlus,331352
07,2023,Population,334231
07,2023,PopulationLegale,334231
07,2023,RPMaisons,115756
07,2023,RPProprietaires,104893
07,2023,RPProprietaires65Plus,43373
07,2023,RPTotalAge,156393
07,2023,ResidencesPrincipales,156393
07,2023,TauxPauvrete,16
07,2024,Deces,4045
07,2024,Naissances,2466
07,2025,Deces,4033
07,2025,Naissances,2450
08,1968,PopulationLegale,309380
08,1975,PopulationLegale,309306
08,1982,PopulationLegale,302338
08,1990,PopulationLegale,296357
08,1999,PopulationLegale,290130
08,2007,PopulationLegale,284749
08,2008,Deces,2784
08,2008,Naissances,3522
08,2009,Deces,2755
08,2009,Naissances,3312
08,2010,Deces,2705
08,2010,Naissances,3254
08,2011,Deces,2746
08,2011,Naissances,3137
08,2012,Actifs1564,125917
08,2012,ArriveesHorsDep,5278
08,2012,Chomeurs1564,20266
08,2012,Deces,2939
08,2012,Logements,140081
08,2012,LogementsVacants,12791
08,2012,Naissances,3258
08,2012,Pop65Plus,49925
08,2012,PopUnAnPlus,279325
08,2012,Population,282778
08,2012,PopulationLegale,282778
08,2012,RPMaisons,86530
08,2012,RPProprietaires,72722
08,2012,ResidencesPrincipales,122265
08,2013,Deces,2789
08,2013,Naissances,3021
08,2014,Deces,2735
08,2014,Naissances,2966
08,2015,Deces,2855
08,2015,Naissances,2799
08,2016,Deces,2896
08,2016,Naissances,2747
08,2017,Actifs1564,121021
08,2017,ArriveesHorsDep,5091
08,2017,Chomeurs1564,20441
08,2017,Deces,2946
08,2017,Logements,142452
08,2017,LogementsVacants,15754
08,2017,Naissances,2521
08,2017,Pop65Plus,56615
08,2017,PopUnAnPlus,270580
08,2017,Population,273579
08,2017,PopulationLegale,273579
08,2017,RPMaisons,87931
08,2017,RPProprietaires,73426
08,2017,ResidencesPrincipales,121784
08,2018,Deces,2935
08,2018,Naissances,2464
08,2019,Deces,2953
08,2019,Naissances,2566
08,2020,Deces,3195
08,2020,Naissances,2458
08,2021,Deces,3195
08,2021,Naissances,2416
08,2022,Deces,3081
08,2022,Naissances,2394
08,2023,Actifs1564,118517
08,2023,ArriveesHorsDep,4790
08,2023,Chomeurs1564,17027
08,2023,Deces,2920
08,2023,Logements,144759
08,2023,LogementsVacants,16311
08,2023,Naissances,2175
08,2023,NiveauVieMedian,23500
08,2023,Pop65Plus,61813
08,2023,PopUnAnPlus,263390
08,2023,Population,265893
08,2023,PopulationLegale,265893
08,2023,RPMaisons,89097
08,2023,RPProprietaires,73940
08,2023,RPProprietaires65Plus,29108
08,2023,RPTotalAge,122646
08,2023,ResidencesPrincipales,122646
08,2023,TauxPauvrete,20
08,2024,Deces,2837
08,2024,Naissances,2161
08,2025,Deces,2951
08,2025,Naissances,2003
09,1968,PopulationLegale,138478
09,1975,PopulationLegale,137857
09,1982,PopulationLegale,135725
09,1990,PopulationLegale,136455
09,1999,PopulationLegale,137205
09,2007,PopulationLegale,148568
09,2008,Deces,1667
09,2008,Naissances,1493
09,2009,Deces,1753
09,2009,Naissances,1452
09,2010,Deces,1754
09,2010,Naissances,1473
09,2011,Deces,1672
09,2011,Naissances,1404
09,2012,Actifs1564,66270
09,2012,ArriveesHorsDep,6389
09,2012,Chomeurs1564,9571
09,2012,Deces,1884
09,2012,Logements,105258
09,2012,LogementsVacants,9656
09,2012,Naissances,1425
09,2012,Pop65Plus,35113
09,2012,PopUnAnPlus,150879
09,2012,Population,152366
09,2012,PopulationLegale,152366
09,2012,RPMaisons,56271
09,2012,RPProprietaires,46344
09,2012,ResidencesPrincipales,69442
09,2013,Deces,1776
09,2013,Naissances,1413
09,2014,Deces,1776
09,2014,Naissances,1364
09,2015,Deces,1790
09,2015,Naissances,1377
09,2016,Deces,1833
09,2016,Naissances,1317
09,2017,Actifs1564,66171
09,2017,ArriveesHorsDep,5647
09,2017,Chomeurs1564,10433
09,2017,Deces,1946
09,2017,Logements,109392
09,2017,LogementsVacants,10643
09,2017,Naissances,1257
09,2017,Pop65Plus,38870
09,2017,PopUnAnPlus,151750
09,2017,Population,153153
09,2017,PopulationLegale,153153
09,2017,RPMaisons,58081
09,2017,RPProprietaires,47522
09,2017,ResidencesPrincipales,71654
09,2018,Deces,1857
09,2018,Naissances,1234
09,2019,Deces,1950
09,2019,Naissances,1205
09,2020,Deces,1937
09,2020,Naissances,1196
09,2021,Deces,2011
09,2021,Naissances,1205
09,2022,Deces,2168
09,2022,Naissances,1201
09,2023,Actifs1564,68171
09,2023,ArriveesHorsDep,5823
09,2023,Chomeurs1564,8929
09,2023,Deces,2034
09,2023,Logements,112208
09,2023,LogementsVacants,9348
09,2023,Naissances,1092
09,2023,NiveauVieMedian,23360
09,2023,Pop65Plus,43297
09,2023,PopUnAnPlus,154502
09,2023,Population,155722
09,2023,PopulationLegale,155722
09,2023,RPMaisons,61107
09,2023,RPProprietaires,50582
09,2023,RPProprietaires65Plus,22487
09,2023,RPTotalAge,75913
09,2023,ResidencesPrincipales,75913
09,2023,TauxPauvrete,20
09,2024,Deces,1978
09,2024,Naissances,1024
09,2025,Deces,2032
09,2025,Naissances,1069
