"ANNEE";"MOIS";"TYPE_LGT";"NAT_SERIES";"LOG_AUT";"LOG_COM";"SDP_AUT";"SDP_COM"
"2024";"04";"Residence";"Brute";2477;1522;107600;67500
"2024";"04";"Residence";"CVS-CJO";3046;2096;132317;92957
"2024";"04";"Tous Logements";"Brute";24986;20236;1992967;1672559
"2024";"04";"Tous Logements";"CVS-CJO";25895;21420;2065472;1770420
"2024";"03";"Collectif";"Brute";13333;10485;855566;698063
"2024";"03";"Collectif";"CVS-CJO";12215;10591;783825;705120
"2024";"03";"Individuel groupe";"Brute";3151;2550;270988;227361
"2024";"03";"Individuel groupe";"CVS-CJO";2915;2625;250692;234048
"2024";"03";"Individuel pur";"Brute";6188;6250;705156;722981
"2024";"03";"Individuel pur";"CVS-CJO";6104;5585;695584;646056
"2024";"03";"Residence";"Brute";5058;1602;255700;69400
"2024";"03";"Residence";"CVS-CJO";4974;2141;251454;92750
"2024";"03";"Tous Logements";"Brute";27730;20887;2087410;1717805
"2024";"03";"Tous Logements";"CVS-CJO";26208;20942;1972840;1722328
"2024";"02";"Collectif";"Brute";12645;7199;802375;458762
"2024";"02";"Collectif";"CVS-CJO";15237;9804;966848;624768
"2024";"02";"Individuel groupe";"Brute";3425;2437;296950;205703
"2024";"02";"Individuel groupe";"CVS-CJO";3492;2586;302759;218280
"2024";"02";"Individuel pur";"Brute";6187;6079;723432;710495
"2024";"02";"Individuel pur";"CVS-CJO";6374;5930;745298;693080
"2024";"02";"Residence";"Brute";3431;2776;139100;138800
"2024";"02";"Residence";"CVS-CJO";4106;3135;166466;156750
"2024";"02";"Tous Logements";"Brute";25688;18491;1961857;1513760
"2024";"02";"Tous Logements";"CVS-CJO";29209;21455;2230765;1756407
"2024";"01";"Collectif";"Brute";12172;7113;779403;467586
"2024";"01";"Collectif";"CVS-CJO";15030;9464;962408;622133
"2024";"01";"Individuel groupe";"Brute";3453;2445;295220;223587
"2024";"01";"Individuel groupe";"CVS-CJO";3523;2449;301205;223953
"2024";"01";"Individuel pur";"Brute";6752;6352;778451;743951
"2024";"01";"Individuel pur";"CVS-CJO";6392;6136;736946;718653
"2024";"01";"Residence";"Brute";2490;2949;102700;121900
"2024";"01";"Residence";"CVS-CJO";3367;2712;138872;112103
"2024";"01";"Tous Logements";"Brute";24867;18859;1955774;1557024
"2024";"01";"Tous Logements";"CVS-CJO";28312;20761;2226721;1714056
"2023";"12";"Collectif";"Brute";16506;20417;1080564;1321079
"2023";"12";"Collectif";"CVS-CJO";15858;10869;1038143;703277
"2023";"12";"Individuel groupe";"Brute";3534;3931;311064;337851
"2023";"12";"Individuel groupe";"CVS-CJO";3646;3236;320922;278119
"2023";"12";"Individuel pur";"Brute";6805;5354;788675;620006
"2023";"12";"Individuel pur";"CVS-CJO";7065;6771;818808;784098
"2023";"12";"Residence";"Brute";5252;4006;207600;196800
"2023";"12";"Residence";"CVS-CJO";4358;1935;172262;95059
"2023";"12";"Tous Logements";"Brute";32097;33708;2387903;2475736
"2023";"12";"Tous Logements";"CVS-CJO";30927;22811;2300859;1675389
"2023";"11";"Collectif";"Brute";13663;12610;846578;826924
"2023";"11";"Collectif";"CVS-CJO";16241;10222;1006314;670326
"2023";"11";"Individuel groupe";"Brute";3181;2987;281556;260975
"2023";"11";"Individuel groupe";"CVS-CJO";3714;2743;328733;239657
"2023";"11";"Individuel pur";"Brute";6795;6502;783897;759663
"2023";"11";"Individuel pur";"CVS-CJO";7109;6501;820121;759546
"2023";"11";"Residence";"Brute";3197;3781;162000;185500
"2023";"11";"Residence";"CVS-CJO";4003;2809;202842;137813
"2023";"11";"Tous Logements";"Brute";26836;25880;2074031;2033062
"2023";"11";"Tous Logements";"CVS-CJO";31067;22275;2401026;1749863
"2023";"10";"Collectif";"Brute";18407;10601;1212093;696227
"2023";"10";"Collectif";"CVS-CJO";16510;9615;1087176;631471
"2023";"10";"Individuel groupe";"Brute";4154;2941;369627;262010
"2023";"10";"Individuel groupe";"CVS-CJO";3910;2591;347916;230829
"2023";"10";"Individuel pur";"Brute";6901;7830;808887;922332
"2023";"10";"Individuel pur";"CVS-CJO";7269;6798;852021;800768
"2023";"10";"Residence";"Brute";3441;2682;160800;127300
"2023";"10";"Residence";"CVS-CJO";3254;3201;152061;151934
