Date,Department,Type,PrixM2Median,PrixMedian,NbVentes
2016-10-01,03,Appartement,997.0,55000.0,200
2017-01-01,03,Appartement,1000.0,54000.0,211
2017-04-01,03,Appartement,900.0,53000.0,239
2017-07-01,03,Appartement,961.0,55000.0,253
2017-10-01,03,Appartement,911.0,49000.0,243
2018-01-01,03,Appartement,950.0,52000.0,189
2018-04-01,03,Appartement,966.0,56500.0,228
2018-07-01,03,Appartement,953.0,51750.0,204
2018-10-01,03,Appartement,1131.0,61000.0,78
2019-01-01,03,Appartement,990.0,48500.0,245
2019-04-01,03,Appartement,1005.0,54000.0,285
2019-07-01,03,Appartement,1037.0,57000.0,263
2019-10-01,03,Appartement,1051.0,55000.0,303
2020-01-01,03,Appartement,1040.0,55000.0,284
2020-04-01,03,Appartement,1000.0,52500.0,268
2020-07-01,03,Appartement,1077.0,57800.0,268
2020-10-01,03,Appartement,1075.0,58000.0,377
2014-01-01,03,Ensemble,1000.0,73200.0,582
2014-04-01,03,Ensemble,988.0,72000.0,700
2014-07-01,03,Ensemble,1000.0,73765.0,712
2014-10-01,03,Ensemble,1016.0,75000.0,714
2015-01-01,03,Ensemble,1000.0,72750.0,624
2015-04-01,03,Ensemble,961.0,73750.0,706
2015-07-01,03,Ensemble,986.0,76000.0,850
2015-10-01,03,Ensemble,944.0,73000.0,889
2016-01-01,03,Ensemble,968.0,70000.0,701
2016-04-01,03,Ensemble,957.0,70000.0,761
2016-07-01,03,Ensemble,978.0,75000.0,896
2016-10-01,03,Ensemble,969.0,72000.0,803
2017-01-01,03,Ensemble,988.0,79600.0,761
2017-04-01,03,Ensemble,949.0,76250.0,846
2017-07-01,03,Ensemble,1020.0,73900.0,895
2017-10-01,03,Ensemble,970.0,70000.0,877
2018-01-01,03,Ensemble,975.0,75000.0,723
2018-04-01,03,Ensemble,962.0,74500.0,855
2018-07-01,03,Ensemble,989.0,75000.0,788
2018-10-01,03,Ensemble,1071.0,82000.0,282
2019-01-01,03,Ensemble,979.0,71000.0,828
2019-04-01,03,Ensemble,1000.0,74900.0,897
2019-07-01,03,Ensemble,1034.0,75000.0,973
2019-10-01,03,Ensemble,1049.0,75250.0,1004
2020-01-01,03,Ensemble,1024.0,77000.0,796
2020-04-01,03,Ensemble,1000.0,75000.0,837
2020-07-01,03,Ensemble,1031.0,78000.0,1028
2020-10-01,03,Ensemble,1047.0,78000.0,1312
2014-01-01,03,Maison,1000.0,83973.0,412
2014-04-01,03,Maison,982.0,83000.0,496
2014-07-01,03,Maison,996.0,81500.0,542
2014-10-01,03,Maison,1000.0,80000.0,532
2015-01-01,03,Maison,1000.0,80000.0,454
2015-04-01,03,Maison,956.0,77400.0,517
2015-07-01,03,Maison,988.0,82000.0,627
2015-10-01,03,Maison,942.0,81540.0,674
2016-01-01,03,Maison,954.0,78000.0,506
2016-04-01,03,Maison,979.0,82750.0,542
2016-07-01,03,Maison,984.0,83500.0,666
2016-10-01,03,Maison,962.0,80000.0,603
2017-01-01,03,Maison,988.0,90000.0,550
2017-04-01,03,Maison,972.0,83000.0,607
2017-07-01,03,Maison,1042.0,85000.0,642
2017-10-01,03,Maison,1000.0,83330.0,634
2018-01-01,03,Maison,985.0,82300.0,534
2018-04-01,03,Maison,955.0,83000.0,627
2018-07-01,03,Maison,1004.0,85000.0,584
2018-10-01,03,Maison,1054.0,93000.0,204
2019-01-01,03,Maison,973.0,80000.0,583
2019-04-01,03,Maison,1000.0,86500.0,612
2019-07-01,03,Maison,1022.0,88500.0,710
2019-10-01,03,Maison,1047.0,90000.0,701
2020-01-01,03,Maison,1010.0,90000.0,512
2020-04-01,03,Maison,1000.0,90500.0,569
2020-07-01,03,Maison,1021.0,89605.0,760
2020-10-01,03,Maison,1023.0,87000.0,935
2014-01-01,04,Appartement,1759.0,75500.0,170
2014-04-01,04,Appartement,1710.0,70000.0,155
2014-07-01,04,Appartement,1780.0,73500.0,183
2014-10-01,04,Appartement,1765.0,65000.0,195
2015-01-01,04,Appartement,1742.0,71750.0,154
2015-04-01,04,Appartement,1647.0,70000.0,173
2015-07-01,04,Appartement,1630.0,75000.0,183
2015-10-01,04,Appartement,1681.0,68500.0,191
2016-01-01,04,Appartement,1744.0,64000.0,156
2016-04-01,04,Appartement,1759.0,65570.0,243
2016-07-01,04,Appartement,1705.0,70860.0,206
2016-10-01,04,Appartement,1742.0,65000.0,217
2017-01-01,04,Appartement,1711.0,71625.0,216
2017-04-01,04,Appartement,1667.0,74625.0,260
2017-07-01,04,Appartement,1722.0,71600.0,220
2017-10-01,04,Appartement,1739.0,63000.0,239
2018-01-01,04,Appartement,1506.0,67950.0,218
2018-04-01,04,Appartement,1553.0,64200.0,248
2018-07-01,04,Appartement,1604.0,64100.0,236
2018-10-01,04,Appartement,1661.0,68930.0,193
2019-01-01,04,Appartement,1590.0,62765.0,244
2019-04-01,04,Appartement,1635.0,64000.0,282
2019-07-01,04,Appartement,1663.0,71000.0,305
2019-10-01,04,Appartement,1763.0,69635.0,346
2020-01-01,04,Appartement,1741.0,67280.0,234
2020-04-01,04,Appartement,1748.0,75000.0,246
2020-07-01,04,Appartement,1725.0,71806.0,272
2020-10-01,04,Appartement,1798.0,66950.0,436
2014-01-01,04,Ensemble,1851.0,116500.0,386
2014-04-01,04,Ensemble,1818.0,111570.0,329
2014-07-01,04,Ensemble,1973.0,120250.0,426
2014-10-01,04,Ensemble,1860.0,108000.0,422
2015-01-01,04,Ensemble,1818.0,110000.0,373
2015-04-01,04,Ensemble,1806.0,118200.0,390
2015-07-01,04,Ensemble,1833.0,112000.0,405
2015-10-01,04,Ensemble,1875.0,117000.0,447
2016-01-01,04,Ensemble,1834.0,115000.0,341
2016-04-01,04,Ensemble,1810.0,94300.0,449
2016-07-01,04,Ensemble,1875.0,116000.0,470
2016-10-01,04,Ensemble,1875.0,117500.0,494
2017-01-01,04,Ensemble,1875.0,115000.0,492
2017-04-01,04,Ensemble,1858.0,115000.0,569
2017-07-01,04,Ensemble,1924.0,127000.0,554
2017-10-01,04,Ensemble,1871.0,113700.0,533
2018-01-01,04,Ensemble,1788.0,110000.0,481
2018-04-01,04,Ensemble,1690.0,100000.0,527
2018-07-01,04,Ensemble,1874.0,116580.0,554
2018-10-01,04,Ensemble,1848.0,112500.0,443
2019-01-01,04,Ensemble,1744.0,100000.0,530
2019-04-01,04,Ensemble,1818.0,103650.0,616
2019-07-01,04,Ensemble,1851.0,115000.0,655
2019-10-01,04,Ensemble,1856.0,105000.0,704
2020-01-01,04,Ensemble,1943.0,117880.0,520
2020-04-01,04,Ensemble,1937.0,117400.0,532
2020-07-01,04,Ensemble,1905.0,120000.0,619
2020-10-01,04,Ensemble,2000.0,115000.0,913
2014-01-01,04,Maison,1941.0,160000.0,216
2014-04-01,04,Maison,1923.0,163500.0,174
2014-07-01,04,Maison,2082.0,173800.0,243
2014-10-01,04,Maison,1923.0,151500.0,227
2015-01-01,04,Maison,1887.0,154000.0,219
2015-04-01,04,Maison,2000.0,165000.0,217
2015-07-01,04,Maison,2087.0,164000.0,222
2015-10-01,04,Maison,2068.0,160500.0,256
2016-01-01,04,Maison,1956.0,170000.0,185
2016-04-01,04,Maison,1897.0,169000.0,206
2016-07-01,04,Maison,2045.0,169165.0,264
2016-10-01,04,Maison,1967.0,170000.0,277
2017-01-01,04,Maison,2007.0,172000.0,276
2017-04-01,04,Maison,2024.0,175000.0,309
2017-07-01,04,Maison,2085.0,170000.0,334
2017-10-01,04,Maison,2027.0,161500.0,294
2018-01-01,04,Maison,2047.0,177000.0,263
2018-04-01,04,Maison,1904.0,156500.0,279
2018-07-01,04,Maison,2097.0,181515.0,318
2018-10-01,04,Maison,2051.0,160000.0,250
2019-01-01,04,Maison,1883.0,160000.0,286
2019-04-01,04,Maison,2000.0,168500.0,334
2019-07-01,04,Maison,2118.0,170000.0,350
2019-10-01,04,Maison,1983.0,165000.0,358
2020-01-01,04,Maison,2111.0,177400.0,286
2020-04-01,04,Maison,2144.0,186500.0,286
2020-07-01,04,Maison,2095.0,170000.0,347
2020-10-01,04,Maison,2208.0,180025.0,477
2014-01-01,05,Appartement,2115.0,91536.0,370
2014-04-01,05,Appartement,2230.0,84150.0,341
2014-07-01,05,Appartement,2111.0,94000.0,401
2014-10-01,05,Appartement,2132.0,84500.0,411
2015-01-01,05,Appartement,2034.0,96000.0,307
2015-04-01,05,Appartement,2214.0,90650.0,381
2015-07-01,05,Appartement,2167.0,100500.0,409
