Date,Region,Department,Type,Permis,MisesEnChantier,SurfacePermis,SurfaceChantiers
2003-02-01,France,France,Logement Collectif,12913,10350,892573,720406
2003-02-01,France,France,Logement en Résidence,895,581,59474,33065
2003-02-01,France,France,Maison Individuelle Groupée,4069,3372,388252,325294
2003-02-01,France,France,Maison Individuelle Pure,14965,14642,1910298,1855150
2003-03-01,France,France,Logement Collectif,12223,11779,831725,824214
2003-03-01,France,France,Logement en Résidence,1723,662,72654,36201
2003-03-01,France,France,Maison Individuelle Groupée,3684,3456,341760,331674
2003-03-01,France,France,Maison Individuelle Pure,15063,15428,1931797,1977218
2003-04-01,France,France,Logement Collectif,12663,10672,866057,759058
2003-04-01,France,France,Logement en Résidence,917,705,53101,40629
2003-04-01,France,France,Maison Individuelle Groupée,4042,3105,378788,288912
2003-04-01,France,France,Maison Individuelle Pure,15858,14519,2030837,1868056
2003-05-01,France,France,Logement Collectif,13081,10632,874529,747612
2003-05-01,France,France,Logement en Résidence,1572,1396,55336,61444
2003-05-01,France,France,Maison Individuelle Groupée,3762,3234,372265,311237
2003-05-01,France,France,Maison Individuelle Pure,15250,14016,1945212,1787653
2003-06-01,France,France,Logement Collectif,11874,11895,827705,806959
2003-06-01,France,France,Logement en Résidence,917,415,51938,20421
2003-06-01,France,France,Maison Individuelle Groupée,3863,3762,374548,355018
2003-06-01,France,France,Maison Individuelle Pure,15978,14693,2034889,1888951
2003-07-01,France,France,Logement Collectif,13821,12667,922112,868827
2003-07-01,France,France,Logement en Résidence,1658,565,68588,28091
2003-07-01,France,France,Maison Individuelle Groupée,4413,3301,422477,315671
2003-07-01,France,France,Maison Individuelle Pure,16572,15015,2099659,1909992
2003-08-01,France,France,Logement Collectif,13206,10025,901117,678667
2003-08-01,France,France,Logement en Résidence,1528,1015,72215,63081
2003-08-01,France,France,Maison Individuelle Groupée,3997,3199,357867,298494
2003-08-01,France,France,Maison Individuelle Pure,16200,13766,2070199,1755481
2003-09-01,France,France,Logement Collectif,14133,12234,971334,813717
2003-09-01,France,France,Logement en Résidence,1640,1185,73292,50175
2003-09-01,France,France,Maison Individuelle Groupée,4614,3506,415206,327910
2003-09-01,France,France,Maison Individuelle Pure,16649,14970,2117576,1913480
2003-10-01,France,France,Logement Collectif,13361,10957,921905,764635
2003-10-01,France,France,Logement en Résidence,1219,1094,63147,47765
2003-10-01,France,France,Maison Individuelle Groupée,4265,3858,407945,369804
2003-10-01,France,France,Maison Individuelle Pure,16604,14930,2114932,1895480
2003-11-01,France,France,Logement Collectif,14448,11275,1011905,786758
2003-11-01,France,France,Logement en Résidence,1017,1391,46552,60191
2003-11-01,France,France,Maison Individuelle Groupée,4457,3191,414157,306292
2003-11-01,France,France,Maison Individuelle Pure,17174,15051,2168387,1909687
2003-12-01,France,France,Logement Collectif,14492,12046,985842,819986
2003-12-01,France,France,Logement en Résidence,1354,707,52807,38693
2003-12-01,France,France,Maison Individuelle Groupée,4531,4069,429259,383652
2003-12-01,France,France,Maison Individuelle Pure,16900,15750,2128961,1985725
2004-01-01,France,France,Logement Collectif,14554,11197,1004303,763244
2004-01-01,France,France,Logement en Résidence,1598,1849,74275,71210
2004-01-01,France,France,Maison Individuelle Groupée,4881,3791,469337,361774
2004-01-01,France,France,Maison Individuelle Pure,17329,15508,2200032,1966649
2004-02-01,France,France,Logement Collectif,15972,12597,1067553,868149
2004-02-01,France,France,Logement en Résidence,2123,945,101641,36374
2004-02-01,France,France,Maison Individuelle Groupée,4545,3945,420614,373287
2004-02-01,France,France,Maison Individuelle Pure,17077,16445,2168804,2091463
2004-03-01,France,France,Logement Collectif,15047,12096,1005828,838198
2004-03-01,France,France,Logement en Résidence,1008,1070,55539,46214
2004-03-01,France,France,Maison Individuelle Groupée,4991,3719,469929,361257
2004-03-01,France,France,Maison Individuelle Pure,16792,15879,2159094,2027999
2004-04-01,France,France,Logement Collectif,17380,12820,1156401,875061
2004-04-01,France,France,Logement en Résidence,1690,1346,71753,55796
2004-04-01,France,France,Maison Individuelle Groupée,4256,4216,391810,394016
2004-04-01,France,France,Maison Individuelle Pure,16968,15896,2162672,2028250
2004-05-01,France,France,Logement Collectif,16831,12119,1099030,803740
2004-05-01,France,France,Logement en Résidence,1681,1119,79180,62021
2004-05-01,France,France,Maison Individuelle Groupée,5212,4071,495054,386305
2004-05-01,France,France,Maison Individuelle Pure,16778,15303,2136801,1964728
2004-06-01,France,France,Logement Collectif,17517,13686,1193335,946828
2004-06-01,France,France,Logement en Résidence,2396,1249,99476,58162
2004-06-01,France,France,Maison Individuelle Groupée,5249,4112,498582,396366
2004-06-01,France,France,Maison Individuelle Pure,16885,15802,2151529,2015026
2004-07-01,France,France,Logement Collectif,17953,13968,1200279,937580
2004-07-01,France,France,Logement en Résidence,1463,1187,68360,50293
2004-07-01,France,France,Maison Individuelle Groupée,5015,4318,465538,405307
2004-07-01,France,France,Maison Individuelle Pure,16436,15480,2088485,1965632
2004-08-01,France,France,Logement Collectif,17684,13551,1228622,931468
2004-08-01,France,France,Logement en Résidence,2252,1415,96531,75298
2004-08-01,France,France,Maison Individuelle Groupée,5568,4268,531193,395965
2004-08-01,France,France,Maison Individuelle Pure,16990,15446,2169252,1984811
2004-09-01,France,France,Logement Collectif,18959,13528,1296638,943687
2004-09-01,France,France,Logement en Résidence,1877,1153,86327,55800
2004-09-01,France,France,Maison Individuelle Groupée,5386,4352,487898,420542
2004-09-01,France,France,Maison Individuelle Pure,16736,16020,2156135,2046350
2004-10-01,France,France,Logement Collectif,18361,12969,1230947,876887
2004-10-01,France,France,Logement en Résidence,2612,1549,143527,70522
2004-10-01,France,France,Maison Individuelle Groupée,4997,4072,467077,390019
2004-10-01,France,France,Maison Individuelle Pure,17653,15825,2258069,2022638
2004-11-01,France,France,Logement Collectif,18780,16295,1301538,1113077
2004-11-01,France,France,Logement en Résidence,2886,1104,116507,51038
