Department,Millesime,Population,Pop65Plus,ResidencesPrincipales,RPProprietaires,RPMaisons,Logements,LogementsVacants,PopUnAnPlus,ArriveesHorsDep,Actifs1564,Chomeurs1564,RPProprietaires65Plus,RPTotalAge,NiveauVieMedian,TauxPauvrete,PartProprietaires,PartMaisons,TauxVacance,Part65Plus,TauxArrivee,TauxChomage,PartRP65Plus,SoldeMigratoire
21,2012,527403,93724,238872,145160,128745,275140,21922,521393,18649,252730,27035,,,,,60.7689,53.8971,7.96758,17.7709,3.57676,10.6972,,0.0895707
21,2017,533819,108152,247908,148419,132915,287831,24079,528259,18142,249235,29201,,,,,59.8686,53.6146,8.36567,20.2601,3.4343,11.7163,,0.0583614
21,2023,540100,120012,261017,155964,137631,303837,25071,535393,18247,255849,24255,60483,261017,26560,13,59.7524,52.7287,8.25146,22.2203,3.40815,9.4802,23.1721,0.208123
22,2012,595531,134402,267662,189451,221453,350943,28108,588940,18455,255209,27673,,,,,70.7799,82.7361,8.00928,22.5684,3.1336,10.8433,,0.71112
22,2017,598814,151012,275171,195614,228862,366683,32432,593074,17854,254429,29883,,,,,71.0882,83.1708,8.8447,25.2185,3.01042,11.7451,,0.329991
22,2023,611859,169102,290789,207485,240592,382287,30030,606912,19428,263651,25230,90300,290789,25590,12,71.3524,82.7377,7.85535,27.6374,3.20112,9.56947,31.0534,0.800443
23,2012,121517,33036,57538,41256,48142,87178,11911,120543,4407,50870,6033,,,,,71.7022,83.6699,13.6629,27.1863,3.65596,11.8596,,0.223476
23,2017,118638,35018,57546,41653,48746,88506,13195,117712,4142,49300,6204,,,,,72.3821,84.7079,14.9086,29.5167,3.51876,12.5842,,0.374598
23,2023,115527,36804,58093,42381,49388,89365,13664,114731,4153,47313,5161,19750,58093,23210,20,72.9537,85.0154,15.2901,31.8575,3.61977,10.9082,33.9972,0.589468
24,2012,416384,104104,190244,129154,159087,248626,23700,412680,15220,177563,23749,,,,,67.8886,83.6226,9.53239,25.0019,3.68809,13.375,,0.732953
24,2017,413606,116032,194935,133422,163903,258732,26919,410466,14900,173951,24527,,,,,68.4444,84.0808,10.4042,28.0538,3.63002,14.0999,,0.340599
24,2023,417614,128185,203880,141197,170827,268633,25974,414665,14729,174841,19622,65479,203880,24150,17,69.255,83.788,9.66895,30.6946,3.55202,11.2228,32.1164,0.83445
25,2012,531062,89442,234867,138227,122806,266904,20120,524178,18479,252855,30367,,,,,58.8533,52.2875,7.53829,16.8421,3.52533,12.0096,,-0.0273776
25,2017,539067,102956,243469,144638,128893,279578,23695,532863,16685,251031,30888,,,,,59.4072,52.9402,8.47527,19.0989,3.1312,12.3045,,-0.12571
25,2023,547163,113742,254754,152743,135075,292326,24984,541541,16056,258211,26894,55453,254754,27190,13,59.9571,53.0217,8.54662,20.7876,2.96487,10.4155,21.7673,0.102801
26,2012,491334,93436,212937,131514,137199,254219,20779,485211,19070,223150,29559,,,,,61.7619,64.4317,8.17366,19.0168,3.93025,13.2462,,0.459584
26,2017,511553,109092,226937,140551,146118,272494,23774,505876,18364,230640,32723,,,,,61.9339,64.387,8.7246,21.3256,3.63014,14.1879,,0.54179
26,2023,524207,122714,241892,150798,155721,287966,23682,519135,17861,239562,27566,59743,241892,25210,16,62.341,64.3763,8.22389,23.4095,3.44053,11.5068,24.6982,0.358386
27,2012,591616,93603,242659,155986,186915,280523,18940,583543,21180,280231,36811,,,,,64.282,77.0278,6.75167,15.8216,3.62955,13.1359,,0.296589
27,2017,601843,111305,252388,164473,196848,295109,23752,595012,19013,279036,37445,,,,,65.1667,77.9942,8.04855,18.494,3.1954,13.4194,,0.0101417
27,2023,602714,125832,263665,172442,204732,305145,22449,596648,18525,279710,31153,61402,263665,25520,14,65.4019,77.6485,7.35683,20.8776,3.10485,11.1376,23.2879,-0.0508438
28,2012,432107,74161,179655,118836,132660,207952,15174,426344,14971,204240,23548,,,,,66.1468,73.8415,7.29688,17.1626,3.51148,11.5296,,0.104448
28,2017,433233,85647,184213,121777,136400,215350,18092,428333,13381,200253,25102,,,,,66.1066,74.0447,8.40121,19.7693,3.12397,12.5351,,-0.261093
28,2023,433129,94306,191532,126971,141485,222884,18479,428794,12920,201065,21240,46730,191532,25980,13,66.2923,73.8702,8.29086,21.7732,3.0131,10.5637,24.398,-0.0617451
29,2012,901293,179755,411909,285993,301112,519088,39376,891296,25949,404256,46766,,,,,69.4311,73.1016,7.58561,19.9441,2.91138,11.5684,,0.330667
29,2017,909028,202569,425945,293390,310799,542677,42221,900337,25945,402849,50360,,,,,68.8798,72.9669,7.78013,22.2841,2.8817,12.501,,0.28215
29,2023,933455,231331,451952,311855,328515,565650,37427,925593,25766,419126,40997,126781,451952,26210,11,69.0018,72.688,6.61664,24.7822,2.78373,9.78155,28.0519,0.735511
2A,2012,145429,30925,62173,34559,26896,107085,3911,144015,4095,66238,7918,,,,,55.5852,43.2599,3.65224,21.2647,2.84345,11.9539,,0.850447
2A,2017,157249,36626,68743,38831,30887,118848,3126,155713,3867,71431,8249,,,,,56.4872,44.9311,2.63025,23.2917,2.48342,11.5482,,1.67972
2A,2023,168306,42080,75184,42194,33242,128776,4050,166844,4085,75909,6321,18444,75184,26050,18,56.121,44.2142,3.145,25.0021,2.44839,8.32708,24.5318,1.34617
2B,2012,170828,34605,73962,39473,35310,120216,4538,169029,6004,73793,9400,,,,,53.3693,47.7407,3.77487,20.2572,3.55205,12.7383,,1.33903
2B,2017,177689,40281,79689,43434,38237,130820,4845,176123,4828,76310,10192,,,,,54.5044,47.9828,3.70356,22.6694,2.74127,13.356,,0.817079
2B,2023,187180,47070,87285,47804,41481,141352,4419,185715,4123,80419,7969,21270,87285,24200,22,54.7677,47.5236,3.12624,25.1469,2.22007,9.90935,24.3684,1.06356
30,2012,725618,143326,317173,187138,204931,401359,32618,717302,26864,316376,53092,,,,,59.0019,64.6117,8.12689,19.7523,3.74515,16.7813,,0.81505
30,2017,744178,165768,333199,196343,217443,423840,35560,736629,24406,318384,55313,,,,,58.9266,65.2592,8.38996,22.2753,3.3132,17.373,,0.356744
30,2023,770940,189289,357160,212376,232846,451147,37207,764058,24256,331401,46230,88982,357160,23930,21,59.4624,65.1938,8.2472,24.553,3.17463,13.9499,24.9138,0.645992
31,2012,1279349,192005,580858,306922,301153,652508,46534,1263192,62496,638413,78790,,,,,52.8394,51.8462,7.13156,15.008,4.94747,12.3415,,0.785106
31,2017,1362672,221512,631799,331085,321494,715532,52498,1346761,58837,677413,88369,,,,,52.4035,50.8855,7.33692,16.2557,4.36878,13.0451,,0.726776
31,2023,1471468,252753,706806,363358,346165,797106,56168,1456035,57241,744672,81903,120523,706806,27040,16,51.4084,48.976,7.04649,17.1769,3.93129,10.9985,17.0518,0.915676
32,2012,189530,46317,84867,58246,69921,105477,10509,187737,7924,83278,8043,,,,,68.6321,82.3889,9.96331,24.4378,4.2208,9.65801,,0.8642
